#,,,,,,,,,,,,,,,,,,,,,,"generated_by='OpenQuake engine 3.9.0-gitca7b1dcaae', start_date='2020-02-28T17:21:52', checksum=2178597357, kind='mean', investigation_time=1.0, imt='PGA'"
lon,lat,depth,poe-0.0050000,poe-0.0070015,poe-0.0098041,poe-0.0137286,poe-0.0192240,poe-0.0269192,poe-0.0376948,poe-0.0527836,poe-0.0739125,poe-0.1034991,poe-0.1449289,poe-0.2029427,poe-0.2841789,poe-0.3979333,poe-0.5572227,poe-0.7802743,poe-1.0926116,poe-1.5299748,poe-2.1424109,poe-3.0000000
166.44160,-22.27110,0.00000,1.021056E-01,7.864620E-02,6.086913E-02,4.633344E-02,3.381414E-02,2.303789E-02,1.430777E-02,7.982971E-03,4.004839E-03,1.831695E-03,7.733090E-04,3.016528E-04,1.065747E-04,3.386098E-05,9.359428E-06,2.107928E-06,3.644727E-07,4.718113E-08,5.078776E-09,3.343626E-10
168.32730,-17.73330,0.00000,9.297003E-01,8.802416E-01,8.078573E-01,7.130177E-01,6.028026E-01,4.882562E-01,3.793507E-01,2.822379E-01,1.997690E-01,1.331153E-01,8.257856E-02,4.733564E-02,2.499724E-02,1.213344E-02,5.377885E-03,2.158268E-03,7.778897E-04,2.463855E-04,6.482523E-05,1.004969E-05
